Open,High,Low,Close,short_ma,long_ma,rsi,macd,macd_hist,macd_signal,Close_pct_change
58.75,59.05,57.71,57.9,62.07,60.7,43.77,-1.39,-0.01,-1.38,-3.0
57.89,57.9,56.15,56.38,61.96,60.74,40.04,-1.45,-0.06,-1.39,-11.0
56.5,56.59,49.89,50.23,61.77,60.75,29.21,-1.98,-0.47,-1.51,7.0
48.64,53.76,48.51,53.65,61.62,60.77,39.08,-2.09,-0.47,-1.62,2.0
54.75,55.76,53.25,54.95,61.48,60.81,42.37,-2.05,-0.34,-1.71,-0.0
55.0,55.4,54.55,54.9,61.34,60.83,42.27,-2.01,-0.24,-1.77,3.0
55.65,56.8,55.15,56.43,61.22,60.86,46.23,-1.82,-0.04,-1.78,-3.0
56.43,57.0,54.14,54.6,61.04,60.88,42.48,-1.8,-0.02,-1.79,-0.0
54.6,55.5,54.07,54.53,60.88,60.9,42.34,-1.78,0.01,-1.78,-2.0
58.0,58.0,52.14,53.23,60.67,60.92,39.7,-1.84,-0.04,-1.79,-5.0
53.25,53.84,50.43,50.53,60.4,60.91,34.83,-2.08,-0.23,-1.85,-0.0
50.6,51.5,50.13,50.35,60.12,60.89,34.53,-2.26,-0.33,-1.93,-2.0
50.35,50.36,48.65,49.3,59.77,60.87,32.73,-2.46,-0.42,-2.04,4.0
49.5,51.97,49.5,51.25,59.48,60.87,39.06,-2.43,-0.31,-2.12,2.0
51.05,52.17,50.64,52.04,59.22,60.86,41.47,-2.32,-0.16,-2.16,0.0
52.05,52.84,51.65,52.1,58.94,60.85,41.66,-2.2,-0.03,-2.16,-0.0
52.4,52.99,51.82,51.84,58.66,60.84,41.04,-2.1,0.05,-2.15,-1.0
51.85,51.92,50.58,51.23,58.37,60.82,39.56,-2.05,0.08,-2.13,0.0
50.6,51.51,50.55,51.46,58.12,60.81,40.43,-1.97,0.13,-2.1,3.0
52.05,53.77,51.7,53.19,57.88,60.81,46.66,-1.74,0.29,-2.03,-2.0
53.19,53.19,51.9,52.2,57.63,60.81,43.84,-1.62,0.32,-1.95,0.0
52.35,52.8,51.1,52.42,57.38,60.8,44.64,-1.5,0.36,-1.86,-3.0
51.75,52.5,50.82,50.93,57.08,60.78,40.43,-1.5,0.29,-1.78,2.0
51.1,52.0,50.94,51.74,56.8,60.76,43.54,-1.42,0.29,-1.71,-1.0
51.78,52.13,50.54,51.0,56.55,60.74,41.41,-1.4,0.25,-1.65,2.0
50.9,52.51,50.45,52.24,56.28,60.73,46.17,-1.27,0.31,-1.57,-1.0
51.95,52.5,51.37,51.5,56.0,60.71,43.88,-1.21,0.29,-1.5,0.0
51.55,52.28,50.9,51.6,55.74,60.69,44.28,-1.14,0.29,-1.43,1.0
51.6,52.5,51.15,52.01,55.48,60.66,45.99,-1.04,0.31,-1.35,-1.0
52.01,52.01,50.71,51.35,55.25,60.64,43.67,-1.01,0.27,-1.28,-3.0
50.88,51.19,49.44,49.7,55.0,60.6,38.44,-1.1,0.15,-1.25,1.0
49.52,50.42,49.2,50.42,54.79,60.57,41.72,-1.1,0.12,-1.22,0.0
51.15,51.92,50.22,50.6,54.58,60.54,42.54,-1.08,0.11,-1.19,4.0
50.94,52.67,50.51,52.53,54.46,60.52,50.6,-0.89,0.24,-1.13,3.0
53.0,54.65,52.99,54.3,54.39,60.51,56.61,-0.59,0.43,-1.02,1.0
55.03,55.5,54.34,54.62,54.26,60.5,57.62,-0.33,0.56,-0.88,5.0
56.2,57.21,55.52,57.16,54.16,60.5,64.62,0.09,0.78,-0.69,-1.0
56.5,57.5,56.5,56.84,54.09,60.49,63.2,0.38,0.86,-0.47,0.0
57.4,57.5,56.63,56.9,54.05,60.49,63.36,0.62,0.87,-0.26,1.0
57.9,58.3,57.25,57.7,54.02,60.5,65.54,0.86,0.89,-0.03,-1.0
58.05,58.11,56.45,57.0,53.99,60.49,62.06,0.98,0.81,0.17,1.0
57.05,57.84,56.25,57.75,53.96,60.49,64.25,1.12,0.76,0.36,2.0
58.07,58.95,57.56,58.85,53.95,60.49,67.24,1.31,0.76,0.55,-0.0
58.25,58.88,58.25,58.71,53.96,60.5,66.48,1.43,0.71,0.73,-0.0
58.27,58.69,58.1,58.5,53.92,60.5,65.28,1.5,0.61,0.88,-4.0
57.95,58.05,55.68,56.0,53.86,60.5,53.06,1.33,0.36,0.97,-1.0
55.9,56.74,55.15,55.45,53.83,60.5,50.81,1.14,0.13,1.0,-1.0
55.93,55.93,53.7,55.17,53.83,60.49,49.66,0.95,-0.04,0.99,3.0
55.35,57.44,55.2,56.99,53.82,60.48,56.57,0.94,-0.04,0.98,-3.0
57.0,57.0,54.99,55.27,53.75,60.47,49.63,0.79,-0.16,0.94,-0.0
55.28,55.99,54.5,55.0,53.69,60.45,48.62,0.63,-0.25,0.88,-2.0
55.0,55.0,53.4,53.8,53.64,60.42,44.32,0.41,-0.38,0.79,-0.0
54.15,54.73,53.57,53.75,53.71,60.4,44.14,0.23,-0.45,0.68,-2.0
53.82,53.82,52.5,52.5,53.69,60.37,39.89,-0.02,-0.55,0.54,-2.0
52.65,52.98,51.1,51.31,53.62,60.33,36.3,-0.3,-0.67,0.37,-1.0
51.31,52.7,50.15,51.0,53.54,60.28,35.41,-0.55,-0.74,0.18,3.0
51.2,52.75,51.05,52.28,53.45,60.25,41.78,-0.64,-0.66,0.02,-3.0
51.98,53.35,50.9,50.9,53.38,60.19,37.49,-0.81,-0.66,-0.14,-0.0
51.15,51.65,50.55,50.74,53.3,60.15,37.01,-0.94,-0.64,-0.3,1.0
51.1,51.19,50.11,51.1,53.26,60.09,38.89,-1.01,-0.56,-0.44,-1.0
50.77,51.6,50.49,50.5,53.26,60.05,36.91,-1.1,-0.52,-0.58,-2.0
50.98,50.98,49.55,49.65,53.25,59.99,34.26,-1.22,-0.52,-0.7,3.0
49.52,52.0,49.52,51.05,53.28,59.94,41.69,-1.19,-0.39,-0.8,-3.0
49.9,50.49,49.39,49.55,53.25,59.89,36.88,-1.28,-0.38,-0.9,3.0
50.15,51.68,49.5,51.27,53.23,59.85,44.75,-1.19,-0.24,-0.96,-1.0
51.98,51.99,50.5,50.57,53.2,59.8,42.43,-1.17,-0.17,-1.0,-1.0
50.66,51.05,49.83,50.15,53.17,59.74,41.06,-1.17,-0.14,-1.03,-0.0
50.4,50.5,49.86,50.1,53.15,59.69,40.89,-1.16,-0.1,-1.06,0.0
50.25,50.48,49.59,50.14,53.12,59.63,41.1,-1.14,-0.06,-1.07,-3.0
50.44,50.45,48.57,48.8,53.03,59.56,36.43,-1.21,-0.11,-1.1,-2.0
48.85,48.98,46.77,47.75,52.94,59.49,33.25,-1.34,-0.19,-1.15,0.0
47.88,47.99,46.85,47.76,52.85,59.42,33.31,-1.43,-0.22,-1.21,-1.0
47.91,48.34,46.8,47.4,52.78,59.34,32.19,-1.51,-0.24,-1.27,-1.0
47.4,47.7,45.58,46.8,52.68,59.26,30.36,-1.6,-0.27,-1.33,2.0
46.89,47.7,46.42,47.68,52.61,59.19,36.09,-1.58,-0.2,-1.38,-4.0
47.26,47.45,45.7,45.86,52.49,59.11,30.5,-1.7,-0.25,-1.45,-1.0
45.3,45.75,44.85,45.57,52.37,59.03,29.71,-1.79,-0.28,-1.51,-2.0
45.0,45.25,44.34,44.55,52.23,58.94,27.05,-1.93,-0.33,-1.6,2.0
44.6,45.73,44.6,45.41,52.09,58.85,32.53,-1.94,-0.28,-1.67,1.0
45.8,46.06,45.07,45.9,51.99,58.78,35.5,-1.89,-0.18,-1.71,-0.0
45.99,46.25,45.1,45.81,51.91,58.69,35.19,-1.84,-0.1,-1.74,-0.0
45.55,46.14,45.3,45.72,51.81,58.61,34.87,-1.78,-0.04,-1.75,0.0
46.39,46.62,45.7,45.78,51.72,58.54,35.3,-1.71,0.03,-1.74,1.0
45.79,46.45,44.91,46.08,51.59,58.46,37.51,-1.62,0.1,-1.71,-2.0
44.21,45.9,42.56,45.08,51.4,58.38,33.41,-1.6,0.09,-1.69,-1.0
45.09,45.2,44.09,44.57,51.2,58.3,31.52,-1.61,0.06,-1.68,-2.0
44.57,44.57,43.0,43.56,50.93,58.2,28.12,-1.68,-0.01,-1.68,-3.0
43.57,43.6,42.2,42.32,50.64,58.1,24.62,-1.82,-0.11,-1.71,-3.0
42.5,42.68,41.06,41.13,50.33,57.99,21.81,-2.0,-0.23,-1.76,1.0
41.31,42.1,40.64,41.5,50.0,57.89,24.68,-2.09,-0.26,-1.83,4.0
42.35,43.26,41.87,43.21,49.73,57.79,36.35,-2.0,-0.13,-1.86,5.0
44.32,45.99,44.16,45.19,49.47,57.7,46.65,-1.74,0.09,-1.84,4.0
45.8,47.24,45.51,46.95,49.24,57.62,53.81,-1.39,0.36,-1.75,1.0
47.1,48.0,47.0,47.32,49.01,57.55,55.17,-1.06,0.55,-1.61,2.0
48.0,48.97,47.65,48.3,48.8,57.48,58.65,-0.72,0.72,-1.43,-3.0
48.63,48.74,46.64,46.85,48.62,57.4,52.2,-0.55,0.7,-1.26,-3.0
46.85,47.07,43.56,45.41,48.42,57.31,46.7,-0.53,0.58,-1.11,2.0
45.41,46.81,45.41,46.41,48.25,57.22,50.59,-0.43,0.54,-0.98,-1.0
46.22,46.44,45.02,45.96,48.03,57.13,48.86,-0.39,0.47,-0.86,1.0
46.3,47.05,45.75,46.25,47.84,57.05,50.05,-0.32,0.43,-0.75,2.0
46.15,47.47,45.91,47.25,47.69,56.97,54.0,-0.19,0.45,-0.64,2.0
47.3,48.25,47.03,48.14,47.58,56.88,57.25,-0.01,0.5,-0.51,-1.0
47.75,47.99,47.0,47.55,47.45,56.79,54.5,0.09,0.48,-0.39,0.0
